model,bench,condition,prompt,n,clean_acc,perturbed_acc,consistency,decline_pct,same_answer,both_decline,answer_to_decline,decline_to_answer,answer_changed
qwen2.5-omni,sakura,permute,none,2560,65.86,66.09,81.99,15.39,70.62,11.37,4.02,4.84,9.14
qwen2.5-omni,sakura,permute,soft_L8_full,2560,75.12,73.91,85.59,0.04,85.55,0.04,0.0,0.0,14.41
qwen2.5-omni,sakura,reverb_1.0s,none,2560,65.86,57.34,75.9,15.98,65.43,10.47,5.51,5.74,12.85
qwen2.5-omni,sakura,reverb_1.0s,soft_L8_full,2560,75.12,66.09,79.84,0.59,79.84,0.0,0.59,0.04,19.53
qwen2.5-omni,mmau,permute,none,640,73.44,74.84,81.56,2.97,80.16,1.41,1.56,1.56,15.31
qwen2.5-omni,mmau,permute,soft_L8_full,640,73.28,72.97,81.88,0.0,81.88,0.0,0.0,0.0,18.12
qwen2.5-omni,mmau,reverb_1.0s,none,640,73.44,68.12,82.81,3.75,80.62,2.19,1.56,0.78,14.84
qwen2.5-omni,mmau,reverb_1.0s,soft_L8_full,640,73.28,67.34,78.59,0.0,78.59,0.0,0.0,0.0,21.41
qwen2.5-omni,mmar,permute,none,637,54.16,51.81,69.54,14.6,60.44,9.11,5.49,5.34,19.62
qwen2.5-omni,mmar,permute,soft_L8_full,637,62.32,60.91,72.37,0.16,72.21,0.16,0.0,0.16,27.47
qwen2.5-omni,mmar,reverb_1.0s,none,637,54.16,46.78,67.66,19.0,57.93,9.73,9.26,4.71,18.37
qwen2.5-omni,mmar,reverb_1.0s,soft_L8_full,637,62.32,58.24,71.74,0.0,71.74,0.0,0.0,0.31,27.94
af3,sakura,permute,none,2560,68.2,66.8,73.95,0.0,73.95,0.0,0.0,0.0,26.05
af3,sakura,permute,soft_L8_full,2560,67.03,66.25,73.55,0.08,73.48,0.08,0.0,0.04,26.41
af3,sakura,reverb_1.0s,none,2560,68.2,56.91,71.48,0.0,71.48,0.0,0.0,0.0,28.52
af3,sakura,reverb_1.0s,soft_L8_full,2560,67.03,59.92,75.59,0.0,75.59,0.0,0.0,0.12,24.3
af3,mmau,permute,none,640,75.47,72.97,79.22,0.0,79.22,0.0,0.0,0.0,20.78
af3,mmau,permute,soft_L8_full,640,74.38,70.78,79.53,0.0,79.53,0.0,0.0,0.0,20.47
af3,mmau,reverb_1.0s,none,640,75.47,71.56,85.31,0.0,85.31,0.0,0.0,0.0,14.69
af3,mmau,reverb_1.0s,soft_L8_full,640,74.38,71.09,85.47,0.0,85.47,0.0,0.0,0.0,14.53
af3,mmar,permute,none,637,57.77,58.24,66.56,0.0,66.56,0.0,0.0,0.0,33.44
af3,mmar,permute,soft_L8_full,637,59.18,57.77,70.17,0.0,70.17,0.0,0.0,0.0,29.83
af3,mmar,reverb_1.0s,none,637,57.77,51.96,77.08,0.0,77.08,0.0,0.0,0.0,22.92
af3,mmar,reverb_1.0s,soft_L8_full,637,59.18,52.9,75.51,0.0,75.51,0.0,0.0,0.0,24.49
qwen3-omni,sakura,permute,none,2560,73.05,71.91,86.02,10.04,78.55,7.46,2.73,3.05,8.2
qwen3-omni,sakura,permute,soft_L8_full,2560,79.26,78.63,89.49,0.0,89.49,0.0,0.0,0.0,10.51
qwen3-omni,sakura,reverb_1.0s,none,2560,73.05,68.71,83.98,10.98,76.76,7.23,3.98,3.28,8.75
qwen3-omni,sakura,reverb_1.0s,soft_L8_full,2560,79.26,75.86,86.6,0.0,86.6,0.0,0.0,0.0,13.4
qwen3-omni,mmau,permute,none,640,74.84,73.91,84.06,7.19,79.69,4.38,2.81,2.81,10.31
qwen3-omni,mmau,permute,soft_L8_full,640,76.72,75.0,87.03,0.0,87.03,0.0,0.0,0.0,12.97
qwen3-omni,mmau,reverb_1.0s,none,640,74.84,70.47,83.44,8.75,78.44,5.0,3.75,2.19,10.62
qwen3-omni,mmau,reverb_1.0s,soft_L8_full,640,76.72,72.19,83.75,0.0,83.75,0.0,0.0,0.0,16.25
qwen3-omni,mmar,permute,none,637,62.01,63.74,75.82,14.29,66.56,9.26,5.18,3.77,15.23
qwen3-omni,mmar,permute,soft_L8_full,637,69.54,69.39,79.12,0.0,79.12,0.0,0.0,0.0,20.88
qwen3-omni,mmar,reverb_1.0s,none,637,62.01,55.73,76.92,17.27,67.03,9.89,7.38,3.14,12.56
qwen3-omni,mmar,reverb_1.0s,soft_L8_full,637,69.54,63.42,79.59,0.0,79.59,0.0,0.0,0.0,20.41
