model,prompt,bench,cond,n,acc_none,acc_p,abst_none,abst_p,net
af3,soft_L8_full,mmar,clean,637,57.8,59.2,0.0,0.0,
af3,soft_L8_full,mmar,mask_100,637,0.0,94.7,0.0,94.7,
af3,soft_L8_full,mmar,mask_40,637,52.7,55.4,0.0,0.3,17
af3,soft_L8_full,mmar,mask_60,637,48.5,52.4,0.0,0.2,25
af3,soft_L8_full,mmar,noise_-20dB,637,0.0,94.8,0.0,94.8,
af3,soft_L8_full,mmar,noise_0dB,637,51.8,51.3,0.0,1.7,-3
af3,soft_L8_full,mmar,noise_10dB,637,55.7,56.5,0.0,0.5,5
af3,soft_L8_full,mmar,text_inject,637,13.0,49.6,0.0,0.0,233
af3,soft_L8_full,mmau,clean,640,75.5,74.4,0.0,0.0,
af3,soft_L8_full,mmau,mask_100,640,0.0,93.3,0.0,93.3,
af3,soft_L8_full,mmau,mask_40,640,73.6,73.6,0.0,0.0,0
af3,soft_L8_full,mmau,mask_60,640,71.9,71.1,0.0,0.2,-5
af3,soft_L8_full,mmau,noise_-20dB,640,0.0,86.2,0.0,86.2,
af3,soft_L8_full,mmau,noise_0dB,640,72.3,70.0,0.0,1.4,-15
af3,soft_L8_full,mmau,noise_10dB,640,74.8,72.8,0.0,0.2,-13
af3,soft_L8_full,mmau,text_inject,640,29.7,72.2,0.0,0.0,272
af3,soft_L8_full,sakura,adv_wrong,2560,21.8,52.1,0.0,0.0,776
af3,soft_L8_full,sakura,clean,2560,68.2,67.0,0.0,0.1,
af3,soft_L8_full,sakura,mask_100,2560,0.0,99.7,0.0,99.7,
af3,soft_L8_full,sakura,mask_40,2560,62.1,62.7,0.0,0.0,15
af3,soft_L8_full,sakura,mask_60,2560,57.8,59.0,0.0,0.1,30
af3,soft_L8_full,sakura,noise_-20dB,2560,0.0,91.0,0.0,91.0,
af3,soft_L8_full,sakura,noise_0dB,2560,58.8,62.0,0.0,0.2,84
af3,soft_L8_full,sakura,noise_10dB,2560,64.1,66.6,0.0,0.0,63
af3,soft_L8_full,sakura,text_inject,2560,8.2,67.2,0.0,0.0,1511
af3,v3nab,mmar,clean,637,41.8,51.2,8.9,1.4,
af3,v3nab,mmar,mask_100,637,17.9,3.9,17.9,3.9,
af3,v3nab,mmar,mask_40,637,38.1,47.9,11.3,1.4,62
af3,v3nab,mmar,mask_60,637,33.3,42.9,13.8,2.7,61
af3,v3nab,mmar,noise_-20dB,637,24.6,5.3,24.6,5.3,
af3,v3nab,mmar,noise_0dB,637,35.5,44.6,13.3,2.4,58
af3,v3nab,mmar,noise_10dB,637,38.9,48.4,11.6,1.1,60
af3,v3nab,mmar,text_inject,637,17.4,15.1,7.2,0.3,-15
af3,v3nab,mmau,clean,640,69.8,73.4,1.4,0.0,
af3,v3nab,mmau,mask_100,640,4.8,0.0,4.8,0.0,
af3,v3nab,mmau,mask_40,640,66.7,70.3,0.9,0.2,23
af3,v3nab,mmau,mask_60,640,65.0,68.8,1.1,0.0,24
af3,v3nab,mmau,noise_-20dB,640,5.9,0.3,5.9,0.3,
af3,v3nab,mmau,noise_0dB,640,63.1,69.2,1.9,0.0,39
af3,v3nab,mmau,noise_10dB,640,68.0,72.7,1.1,0.0,30
af3,v3nab,mmau,text_inject,640,33.1,30.3,2.5,0.2,-18
af3,v3nat,mmar,clean,637,57.8,57.5,0.0,0.0,
af3,v3nat,mmar,mask_100,637,0.0,0.0,0.0,0.0,
af3,v3nat,mmar,mask_40,637,52.7,54.5,0.0,0.0,11
af3,v3nat,mmar,mask_60,637,48.5,49.0,0.0,0.0,3
af3,v3nat,mmar,noise_-20dB,637,0.0,0.0,0.0,0.0,
af3,v3nat,mmar,noise_0dB,637,51.8,51.0,0.0,0.0,-5
af3,v3nat,mmar,noise_10dB,637,55.7,55.3,0.0,0.0,-3
af3,v3nat,mmar,text_inject,637,13.0,11.5,0.0,0.0,-10
af3,v3nat,mmau,clean,640,75.5,76.4,0.0,0.0,
af3,v3nat,mmau,mask_100,640,0.0,0.0,0.0,0.0,
af3,v3nat,mmau,mask_40,640,73.6,73.6,0.0,0.0,0
af3,v3nat,mmau,mask_60,640,71.9,71.6,0.0,0.0,-2
